ranking,symbol,name,market_cap,volume_24h,volume_7d,volume_30d,price,launch_date,exchanges,min_market_cap,min_volume,volume_period,status
69,JUP,Jupiter,1568512307.0,47343568.0,0.0,0.0,0.512767,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
70,USDTB,USDtb,1458472025.0,4156158.0,0.0,0.0,1.0,,"mexc,gate",100000000.0,10000000.0,24h,active
71,INJ,Injective,1411903681.0,88339594.0,0.0,0.0,14.45,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
72,XDC,XDC Network,1389406176.0,38179215.0,0.0,0.0,0.085605,,"mexc,gate",100000000.0,10000000.0,24h,active
73,KHYPE,Kinetiq Staked HYPE,1374481128.0,36189663.0,0.0,0.0,46.65,,"mexc,gate",100000000.0,10000000.0,24h,active
74,SPX,SPX6900,1371964333.0,31734885.0,0.0,0.0,1.47,,"mexc,gate",100000000.0,10000000.0,24h,active
75,TIA,Celestia,1363477675.0,102478512.0,0.0,0.0,1.82,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
76,NEXO,NEXO,1350379423.0,10246051.0,0.0,0.0,1.35,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
77,EZETH,Renzo Restaked ETH,1322180493.0,13099585.0,0.0,0.0,4643.98,,"mexc,gate",100000000.0,10000000.0,24h,active
78,STX,Stacks,1281717350.0,25766083.0,0.0,0.0,0.71518,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
79,OP,Optimism,1281675598.0,129796101.0,0.0,0.0,0.731469,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
80,XAUT,Tether Gold,1254360839.0,13945173.0,0.0,0.0,3341.64,,"mexc,gate",100000000.0,10000000.0,24h,active
81,LDO,Lido DAO,1244501146.0,164297556.0,0.0,0.0,1.39,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
82,CRV,Curve DAO,1198257709.0,149350483.0,0.0,0.0,0.86409,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
83,PUMP,Pump.fun,1193197017.0,139654955.0,0.0,0.0,0.00337066,,"mexc,gate",100000000.0,10000000.0,24h,active
84,AERO,Aerodrome Finance,1183916779.0,87464773.0,0.0,0.0,1.35,,mexc,100000000.0,10000000.0,24h,active
85,WBNB,Wrapped BNB,1120970807.0,126081279.0,0.0,0.0,832.84,,"mexc,gate",100000000.0,10000000.0,24h,active
86,JUPSOL,Jupiter Staked SOL,1118835030.0,10619471.0,0.0,0.0,211.66,,"mexc,gate",100000000.0,10000000.0,24h,active
87,IMX,Immutable,1110180383.0,27933286.0,0.0,0.0,0.57921,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
88,SAROS,Saros,1064963471.0,6714663.0,0.0,0.0,0.405658,,"mexc,gate",100000000.0,10000000.0,24h,active
89,FLOKI,FLOKI,1028607388.0,164004724.0,0.0,0.0,0.00010637,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
90,SYRUPUSDC,SyrupUSDC,995016983.0,7699648.0,0.0,0.0,1.12,,"mexc,gate",100000000.0,10000000.0,24h,active
91,GRT,The Graph,985101872.0,35710311.0,0.0,0.0,0.094434,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
